,Animals,Mean,5%,25%,50%,75%,95%
0,Pigs,0.405,0.364,0.393,0.403,0.421,0.439
1,Chickens,0.37,0.34,0.357,0.374,0.383,0.399
2,Carp,0.145,0.129,0.138,0.147,0.152,0.16
3,Octopuses,0.316,0.282,0.303,0.313,0.332,0.35
4,Shrimp,0.085,0.064,0.079,0.085,0.092,0.098
5,BSF,0.083,0.065,0.078,0.084,0.089,0.094
