,Animals,Mean,5%,25%,50%,75%,95%
0,Pigs,0.05615,0.047059,0.05619,0.05782,0.05836,0.05858
1,Chickens,0.03176,0.027228,0.03068,0.03226,0.03341,0.03452
2,Carp,0.00059,0.000464,0.00054,0.00059,0.00064,0.00072
3,Octopuses,0.03165,0.021236,0.02915,0.03281,0.03548,0.03805
4,Shrimp,0.00034,0.000172,0.00025,0.00032,0.00041,0.0006
5,BSF,0.00019,5.5e-05,0.00013,0.00019,0.00025,0.00032
