,1%,5%,25%,50%,75%,95%,99%,Mean
Pigs,0.6,0.8010398942725707,0.9582739831652887,0.9857849174640547,0.9950556758422716,0.9989894813540822,0.9996653105427823,0.9574337131107291
Chickens,0.652863626334297,0.7497565103524122,0.845560326937996,0.8892523224860895,0.9199679655218972,0.9505747903444676,0.9636168537207541,0.8748114246655952
Carp,0.49014846133052736,0.5490946297871658,0.6372614244662301,0.6988250784244121,0.7606714913324853,0.8488419215975845,0.9067213033714728,0.6985998059215097
Octopuses,0.29613360560444824,0.49366083041890946,0.6856106947170129,0.7736340979200229,0.83849984319462,0.8997452016766552,0.9275348324413136,0.7455934882928305
Shrimp,0.15163128034339846,0.19883619676280806,0.28864543560867295,0.3730682414209639,0.48449096958621196,0.6970057844540529,0.9189285952014524,0.40086987807529734
BSF,0.01,0.10141265764860215,0.2486725383553264,0.35027711233774517,0.4547537008658117,0.6011077208198904,0.6949994879200034,0.3517245461949522
