,Animals,Mean,5%,25%,50%,75%,95%
0,Pigs,0.571,0.478,0.543,0.565,0.609,0.652
1,Chickens,0.577,0.5,0.543,0.587,0.609,0.652
2,Carp,0.424,0.348,0.391,0.435,0.457,0.5
3,Octopuses,0.422,0.348,0.391,0.413,0.457,0.5
4,Shrimp,0.174,0.109,0.152,0.174,0.196,0.217
5,BSF,0.193,0.13,0.174,0.196,0.217,0.239
