,Animals,Mean,5%,25%,50%,75%,95%
0,Pigs,0.551,0.059,0.493,0.565,0.637,1.0
1,Chickens,0.552,0.036,0.512,0.576,0.639,1.0
2,Carp,0.456,0.001,0.361,0.424,0.489,1.0
3,Octopuses,0.461,0.042,0.358,0.423,0.487,1.0
4,Shrimp,0.299,0.001,0.119,0.163,0.209,1.0
5,BSF,0.312,0.001,0.14,0.185,0.231,1.0
