,Animals,Mean,5%,25%,50%,75%,95%
0,Pigs,0.441,0.0547,0.05848,0.521,0.586,0.986
1,Chickens,0.399,0.02982,0.03379,0.482,0.541,0.888
2,Carp,0.243,0.00052,0.00067,0.264,0.323,0.697
3,Octopuses,0.265,0.02712,0.03642,0.279,0.342,0.776
4,Shrimp,0.079,0.00022,0.00046,0.05,0.08,0.369
5,BSF,0.073,0.00011,0.00027,0.05,0.083,0.34
