,Animals,Mean,5%,25%,50%,75%,95%
0,Pigs,0.546,0.43,0.514,0.555,0.587,0.641
1,Chickens,0.504,0.407,0.468,0.507,0.543,0.591
2,Carp,0.297,0.213,0.26,0.295,0.331,0.386
3,Octopuses,0.315,0.202,0.278,0.321,0.36,0.409
4,Shrimp,0.07,0.031,0.048,0.064,0.086,0.129
5,BSF,0.068,0.018,0.045,0.066,0.088,0.123
