,Aggregate Neuron Count Score
Pigs,0.05864316833208694
Chickens,0.03633033425670495
Carp,0.0008432910418629421
Octopuses,0.04229844634366704
Shrimp,0.0008612420578225753
BSF,0.0005421933380387801
